,iso_code,lat,lon
0,AFG,33.0,65.0
1,ALB,41.0,20.0
2,DZA,28.0,3.0
3,ASM,-14.3333,-170.0
4,AND,42.5,1.6
5,AGO,-12.5,18.5
6,AIA,18.25,-63.1667
7,ATA,-90.0,0.0
8,ATG,17.05,-61.8
9,ARG,-34.0,-64.0
10,ARM,40.0,45.0
11,ABW,12.5,-69.9667
12,AUS,-27.0,133.0
13,AUT,47.3333,13.3333
14,AZE,40.5,47.5
15,BHS,24.25,-76.0
16,BHR,26.0,50.55
17,BGD,24.0,90.0
18,BRB,13.1667,-59.5333
19,BLR,53.0,28.0
20,BEL,50.8333,4.0
21,BLZ,17.25,-88.75
22,BEN,9.5,2.25
23,BMU,32.3333,-64.75
24,BTN,27.5,90.5
25,BOL,-17.0,-65.0
27,BIH,44.0,18.0
28,BWA,-22.0,24.0
29,BVT,-54.4333,3.4
30,BRA,-10.0,-55.0
31,IOT,-6.0,71.5
32,BRN,4.5,114.6667
34,BGR,43.0,25.0
35,BFA,13.0,-2.0
36,BDI,-3.5,30.0
37,KHM,13.0,105.0
38,CMR,6.0,12.0
39,CAN,60.0,-95.0
40,CPV,16.0,-24.0
41,CYM,19.5,-80.5
42,CAF,7.0,21.0
43,TCD,15.0,19.0
44,CHL,-30.0,-71.0
45,CHN,35.0,105.0
46,CXR,-10.5,105.6667
47,CCK,-12.5,96.8333
48,COL,4.0,-72.0
49,COM,-12.1667,44.25
50,COG,-1.0,15.0
51,COD,0.0,25.0
52,COK,-21.2333,-159.7667
53,CRI,10.0,-84.0
54,CIV,8.0,-5.0
56,HRV,45.1667,15.5
57,CUB,21.5,-80.0
58,CYP,35.0,33.0
59,CZE,49.75,15.5
60,DNK,56.0,10.0
61,DJI,11.5,43.0
62,DMA,15.4167,-61.3333
63,DOM,19.0,-70.6667
64,ECU,-2.0,-77.5
65,EGY,27.0,30.0
66,SLV,13.8333,-88.9167
67,GNQ,2.0,10.0
68,ERI,15.0,39.0
69,EST,59.0,26.0
70,ETH,8.0,38.0
71,FLK,-51.75,-59.0
72,FRO,62.0,-7.0
73,FJI,-18.0,175.0
74,FIN,64.0,26.0
75,FRA,46.0,2.0
76,GUF,4.0,-53.0
77,PYF,-15.0,-140.0
78,ATF,-43.0,67.0
79,GAB,-1.0,11.75
80,GMB,13.4667,-16.5667
81,GEO,42.0,43.5
82,DEU,51.0,9.0
83,GHA,8.0,-2.0
84,GIB,36.1833,-5.3667
85,GRC,39.0,22.0
86,GRL,72.0,-40.0
87,GRD,12.1167,-61.6667
88,GLP,16.25,-61.5833
89,GUM,13.4667,144.7833
90,GTM,15.5,-90.25
91,GGY,49.5,-2.56
92,GIN,11.0,-10.0
93,GNB,12.0,-15.0
94,GUY,5.0,-59.0
95,HTI,19.0,-72.4167
96,HMD,-53.1,72.5167
97,VAT,41.9,12.45
98,HND,15.0,-86.5
99,HKG,22.25,114.1667
100,HUN,47.0,20.0
101,ISL,65.0,-18.0
102,IND,20.0,77.0
103,IDN,-5.0,120.0
104,IRN,32.0,53.0
105,IRQ,33.0,44.0
106,IRL,53.0,-8.0
107,IMN,54.23,-4.55
108,ISR,31.5,34.75
109,ITA,42.8333,12.8333
110,JAM,18.25,-77.5
111,JPN,36.0,138.0
112,JEY,49.21,-2.13
113,JOR,31.0,36.0
114,KAZ,48.0,68.0
115,KEN,1.0,38.0
116,KIR,1.4167,173.0
117,PRK,40.0,127.0
118,KOR,37.0,127.5
120,KWT,29.3375,47.6581
121,KGZ,41.0,75.0
122,LAO,18.0,105.0
123,LVA,57.0,25.0
124,LBN,33.8333,35.8333
125,LSO,-29.5,28.5
126,LBR,6.5,-9.5
